Common Name,Guild,Specific Epithet,Diet
Pale Billed Flowepecker,Frugivore,Dicaeum erythrorhynchos,"Mainly fruits  of mistletoes; also nectar, spiders (Araneae) and small insects. Forages mostly in canopy. Forages singly and in pairs; also in groups in non-breeding season. May join mixed-species feeding flocks in Sri Lanka."
Pied Bushchat,Insectivore,Saxicola caprata,"Small insects  and their larvae, including beetles, caterpillars, moths, midges and ants, also earthworms; once seen with berry in bill. Small caterpillars seen brought to nestlings. Forages in typical stonechat fashion, flying from perch (e.g. tall grass or top of low bush) to ground to take prey; occasionally sallying in air, in New Guinea this apparently commonest method, at least in late afternoon when flying insects numerous. Once seen to take worms and other invertebrates in wake of rootling domestic pig. Female vagrant held territory 0·07 ha (35 × 20 m)."
Laughing Dove,Grainivore,Streptopelia senegalensis,"Seeds less than 2 mm in length comprise most of diet, but species also takes entire sunflower seeds or grains of maize; also eats fruits and nectar from Aloe; some insects are taken including ants, termites, fly larvae and pupae. Monocotyledons comprise 70–80% of diet in years of good rainfall. Seed items identified include those of oats, wheat, millet, sorghum, Croton, Celosia, Amaranthus, Oxalis, Rhus, Polygala, Acacia and various legumes. Food is taken on the ground  , the birds foraging close to shrubs; rarely plucks fruit or grain directly from plants. Generally solitary  or in pairs or in flocks of 3–4, but hundreds may gather near water."
Grey Wagtail,Insectivore,Motacilla cinerea,"Prey mainly insects, notably fly larvae and adults (Diptera, especially Chironomidae) and nymphal and adult mayflies (Ephemeroptera) and caddis flies (Trichoptera); some dragonflies (Odonata), moth caterpillars and adult butterflies (Lepidoptera), beetles (Coleoptera), lacewings and alderflies (Neuroptera), bugs (Hemiptera), grasshoppers (Orthoptera); freshwater shrimps (Gammarus), terrestrial snails (Mollusca) and spiders (Araneae) also eaten. In India, three stomachs contained 28 flies, 10 bugs, 7 grasshoppers, 6 beetles, 3 dragonflies and a spider. Of 944 prey items retrieved from nestlings in Czech Republic, 90% comprised flies, mayflies, stoneflies (Plecoptera) and beetles in equal proportions, while caddis flies and homopteran bugs each comprised just over 3%, and other items included insects (Lepidoptera, Hymenoptera, Orthoptera, Neuroptera), spiders, crustaceans and gastropod snails; almost 69% of food items were adult insects, but prey taken to nestlings varied according to weather. In a second study in Czech Republic, flies comprised 36% of 496 prey items, stoneflies 26%, homopterans 13·5% and caddis flies 8·5%; aquatic insect larvae represented less than 7% of nestling diet, although they were more important earlier in breeding season when there were more large larvae in the river (as the season progresses, the adults emerge). In C Asia, nestlings at L Baikal were fed a range of insect prey, as well as spiders and terrestrial molluscs, but 54% of items were, in order of abundance, mayflies, stoneflies, flies and caddis flies; in Tien Shan Mts mayflies, stoneflies and caddis flies dominated the nestling diet in late Jun and early Jul, accounting for 85% of food items, but comprised only 5·4% in late Jul, when dipterans (32·8%) were most important. Forages  by walking and picking  , run-picking, and flying up a short distance from ground to catch an insect; also makes flycatching sallies  from a perch out over water, this technique being more frequent in summer months when temperatures are high and aerial insects more active. Also wades in shallow water to pick aquatic prey."
Yellow Wagtail,Insectivore,Motacilla flava,"Diet includes wide variety of terrestrial  and aquatic invertebrates  ; also some plant material, especially seeds. Invertebrates range from small flies  (Diptera), bugs (Hemiptera), beetles (Coleoptera), grasshoppers (Orthoptera), butterflies (Lepidoptera), cockroaches (Blattodea), termites (Isoptera) and ants (Hymenoptera) to crustaceans; dragonflies  (Odonata) sometimes important by mass. In African winter quarters, sample of stomach contents dominated in terms of bulk by adult beetles 3–5 mm long, and larvae of beetles and lepidopterans present in small numbers; bugs, beetles, ants and grasshoppers were numerically the most important prey in another study. Small flies were found to be most important elsewhere, as at L Chad and L Victoria. Some berries, e.g. from saltbush (Salvadora persica), and other plant material also taken. Forages  by picking items from the ground  or from water while walking; also run-picks, and makes short flights to catch insects in the air, over water or from vegetation. Occasionally hovers over vegetation to take prey. Frequently associates with domestic stock, especially cattle, both in summer and in winter, also with wild game in winter quarters; takes advantage of insects attracted by the animals and their dung and disturbed by their grazing activity. Often in small to large or very large flocks outside breeding season; single individuals often defend a feeding territory throughout winter, and small flocks may also do so."
Red Wattled Lapwing,Insectivore,Vanellus indicus,"Beetles and other insects, including ants, butterfly and fly larvae, grasshoppers, crickets, bugs, earwigs and termites; also molluscs, worms and crustaceans. One record of the species predating the eggs of Charadrius alexandrinus in Arabia (7). Feeds  mostly at dawn and dusk, and during moonlit night."
White Cheeked Barbet,Frugivore,Psilopogon viridis,"Banyan, pipal, other figs and fruits and berries, including those under cultivation (e.g. coffee) (1); sips nectar; animal food, especially insects and their larvae (4) (including butterflies, dragonflies, mantids, cicadas, beetles and winged termites) and mainly during breeding season (4), as well as earthworms and spiders; also flowers (Cullenia exarillata, Clitoria ternatea recorded) (5). In one study in S India, present species preferred much larger fig species (Ficus mysorensis, F. insignis) than did P. malabaricus, but with seasonal shifts in consumption, preferentially taking fruit of Bischofia javanica, Leea indica, Lantana camara and Solanum indicum in Jan–Feb, Ficus retusa and F. tsiela in Mar, switching to Actinodaphne hookeri in Apr along with Machilus macrantha, then Grewia tiliaefolia, F. retusa, F. tsiela, Macaranga, Lantana, Solanum and on nectar of Erythrina and, rarely, Spathodea campanulata in May–Aug, while by year-end preference switches to figs of F. insignis and F. infectoria, as well as fruits of Solanum, Lantana and Leea indica, and nectar of Bombax ceiba and Erythrina (4); c. 30% of its dietary items consisted of animal food. When feeding on figs, commonly swallows the fruit whole. Takes insects and larvae in foliage and along branches and trunks; hawks (clumsily) (1) for moths and winged termites; sometimes lands on ground, especially when following mixed-species flocks (4) but also to bathe (1), although most foraging is in the canopy and subcanopy (6). Sometimes gathers in parties of up to c. 20 to feed on fruits, even c. 30 at winged termite hatchings (4). Aggressive at fruiting trees, and in mixed feeding flocks, and also around nest; however, reportedly does not chase Western Koels (Eudynamys scolopaceus) (4). Feeds  mainly in early to mid morning and from mid to late afternoon (4)."
Indian Scimitar Babler,Omnivore,Pomatorhinus horsfieldii,"Insects, grubs, spiders (Araneae); also berries and flower nectar. Found in pairs during breeding season, otherwise in small parties of 4–10 individuals; often in association with mixed feeding parties. Forages on ground under dense undergrowth, flicking aside or turning over leaves or digging vigorously in mulch. Also hops along moss-covered branches or up trunks of trees."
Blyth's Reed Warbler,Insectivore,Acrocephalus dumetorum,"Diet includes following items: mayflies (Ephemeroptera), dragonflies (Odonata: Agriidae), stoneflies (Plecoptera), orthopterans, larval earwigs (Dermaptera), bugs (Hemiptera), lacewings (of family Chrysopidae), adult and larval lepidopterans, caddis flies (Trichoptera), dipteran flies (including tipulids), hymenopterans (including sawflies, ants, bees and wasps), adult and larval beetles (Coleoptera); spiders (Araneae), harvestmen (Opiliones), snails; some seeds also taken. Forages  usually on side or top foliage of trees  and bushes, as well as in herb layer. Hops on the ground, and catches insects in flight."
Scarlet Minivet,Insectivore,Pericrocotus speciosus,"Eats mainly insects  , including caterpillars (Lepidoptera), grasshoppers and green crickets (Orthoptera) and cicadas (Cicadidae); also spiders (Arachnida). Gregarious; regularly joins mixed-species foraging flocks. Forages in canopy or in crowns of emergent trees; visits crops of ripe figs (Ficus), apparently for insects attracted by the fruit. Prey taken mainly in canopy foliage; also sallies after flushed prey, and hovers in front of flowers."
Malabar Crested lark,NA,Galerida malabarica,"Diet poorly known; apparently seeds and invertebrates, e.g. orthopterans, beetles (Coleoptera), ants (Formicidae). Forages on ground  , singly or in pairs; also in flocks of up to c. 30 individuals in non-breeding season."
Common Kingfisher,Carnivore,Alcedo atthis,"Fish  the main prey in Europe: include minnows (Phoxinus), sticklebacks (Gasterosteus), bullhead (Cottus), roach (Rutilis), barbel (Barbus), grayling (Thymallus), trout (Salmo), dace and chub (Leuciscus), perch (Perca), young pike (Esox), loach (Cobitis, Noemacheilus), carp (Carassius), gudgeon (Gobio), ruffe (Acerina), bleak (Alburnus), nase (Chondrostoma), and many other species up to 125 mm long. Also takes aquatic insects, including water-bugs (Hemiptera), water beetles (Dytiscidae), dragonfly nymphs  and occasionally adults (Odonata), mayflies (Ephemeroptera), lacewings (Neuroptera), stoneflies (Plecoptera), caddis flies (Trichoptera); also flies (Diptera), butterflies and moths (Lepidoptera), amphibians  (Rana), crayfish (Astacus), prawns (Palaemon), shrimps (Gammarus) and isopods in winter. Very occasionally feeds on berries (Rubus, Sambucus) and stems of reed (Phragmites). In Britain and Ireland diet consisted of 60% fish, 20% insects and larvae, 5% crustacea, 5% tadpoles, and 5% molluscs; in Belgium, bullhead and loaches formed 96% of remains in pellets; elsewhere in Europe more variable diet, e.g. in Spain 78% fish, 10% crustaceans, 8% insects, 3% frogs. Wintering birds in Malaysia fed mainly on fish (60%) and shrimps  (30%), with median prey length of 30 mm. Found to consume 50–60% of its body mass daily, requiring 38 successful dives; one bird ate 13–21 minnows daily, a total of 46 g. Perches  for long periods, usually 1–2 m above the water  , occasionally to 11 m, periodically turning around and bobbing head and body to gauge distance when food sighted; dives steeply  and catches prey below water to maximum depth of 1 m; using its buoyancy and flapping the wings, it rises through water bill first and flies back to its perch, where the fish is held near the tail  , beaten against perch several times, then positioned lengthways in bill and swallowed head first  ; larger prey given longer and more thorough beating, held by tail and head battered against perch. Prey sometimes become impaled on thorns or wire during beating and may be left. Sometimes takes prey from water surface, and where no perches avai-lable will hover before diving. Seen to follow a foraging smooth-coated otter (Lutrogale perspicillata) to feed on fish and other displaced aquatic animals. Insects taken in flight. In Nepal, dives from perch for fish were 38% successful, but 54% successful from hovering. In Malaysia, 90% of foraging was diving from perch, 2·6% from hovering, 0·9% from horizontal flight, and overall success rate was 53%. In Kashmir, most feeding activity during 10:00–12:00 hours and 17:00–19:00 hours, avoiding peak feeding times of Ceryle rudis and Halcyon smyrnensis, but in Malaysia no well-defined activity patterns. Several times each day regurgitates a small pellet of indigestible fish bones and insect parts."
Koel,Omnivore,Eudynamys scolopaceus,"Fruits of figs (Ficus), mulberries (Morus), jujubes (Zizyphus), Brazilian cherry (Eugenia uniflora), wild cherry (Prunus pseudocerasus), tamarind (Tamarindus indica), java olive tree (Sterculia foetida), large-flowered bay tree (Persea macrantha), sandalwood (Santalum), Pithecellobium dulce, guava (Psidium guajava), nuts of various palms including Chinese fan palm (Livistoma chinensis), oil palm and (Archontophoenix alexandrae), poisonous fruit of Yellow Oleander (Thevatia neriifolia), nectar of Indian coral tree (Erythrina indica), nectar and flower of bluebellvine (Clitoria ternatea), fruit and nectar of papaya (Carica papaya)."
"Robin, Magpie",NA,Copsychus saularis,"Mainly insects  , notably crickets, beetles (including weevils, scarabs, ladybirds), locustids, ants, firebugs, caterpillars, dragonflies (8), wasps, termites and flies (especially dungflies) and their maggots; also other invertebrates, including leeches, earthworms  , molluscs, millipedes, crabs and in particular spiders, and small vertebrates such as geckos (e.g. Hemidactylus brooki and H. leschenaultii) (8) and fish  ; also nectar of e.g. Salmalia and Erythrina, and seeds and fallen wild fruit. Twelve stomachs from C India held many Camponotus ants, also Myllocercus weevils, mole-crickets (Gryllotalpa), grasshoppers (Chrotogonus), earthworms, beetles, larvae and small bees. Small caterpillars seen fed to nestlings. Feeds largely on ground, hopping about in upright stance, with tail pumping over back, wings partly drooped; also recorded as hawking winged termites."
Purple Rumped Sunbird,Omnivore,Leptocoma zeylonica,"Insects, including caterpillars, also spiders  (Araneae); also nectar and grapes, and fruits of mistletoes (Loranthaceae) probably eaten. Takes nectar from flowers having large corollas. Forages singly and in pairs. Very active."
Leaf Warbler,Insectivore,,
Forest Wagtail,Insectivore,Dendronanthus indicus,"Food consists of small invertebrates, such as ants (Hymenoptera), beetles (Coleoptera), small grasshoppers (Orthoptera), butterflies (Lepidoptera), cicadas (Cicadidae) and other hemipterans, and other insects, also spiders (Araneae), small molluscs and worms (Annelida). Forages mostly on the ground, running about quietly on shady forest paths or on mulch-covered forest floor; also in trees, running along horizontal boughs and up and down at a steep angle. When disturbed usually flies to perch in tree, sways tail and rear body from side to side. Singly or in pairs."
Dusky Crag Martin,Insectivore,,
Asian Paradise Flycatcher,Insectivore,,
Yellow Browed Bulbul,Omnivore,,
Common Myna,Omnivore,,
House Swift,Insectivore,,
Pond Heron,Carnivore,,
Alpine Swift,Insectivore,,
Swallow Spp.,Insectivore,,
Black Naped Oriole,Omnivore,,
Asian Fairy Bluebird,Frugivore,,
Rufous Bellied Babler,Omnivore,,
Blue Rock Pidgeon,Grainivore,,
Common Tailorbird,Insectivore,,
Scaly Breasted Munia,Grainivore,,
Plum Headed Parakeet,Frugivore,,
Southern Coucal,Carnivore,,
Jungle Bush Quail,Grainivore,,
Domestic Fowl,NA,,
Coppersmith Barbet,Frugivore,,
Black Bulbul,Frugivore,,
Jungle Myna,Omnivore,,
Spotted Babler,Omnivore,,
Rose finch,Omnivore,,
White Bellied Blue Flycatcher,Insectivore,,
Black Shouldered Kite,Carnivore,,
Oriental Magpie Robin,Insectivore,,
Golden Fronted Leafbird,Omnivore,,
Red Whiskered Bubul,Omnivore,,
Common Tailor Bird,NA,,
Red Spurfowl,Frugivore,,
Perdicula spp.,,,
Yellow Throated Sparrow,Omnivore,,
Oriental Trutle Dove,Grainivore,,
Orange Minivet,Insectivore,,
Little Egret,Carnivore,,
Phylloscopus Spp.,Insectivore,,
Tree Pipit,Insectivore,,
Crimson Backed Sunbird,Omnivore,,
Orange Headed Ground Thrush,Omnivore,,
Monticola spp.,,,
Puff Throated Babler,Insectivore,,
Brown Cheeked Fulvetta,Omnivore,,
Malabar Whistling Thrush,Carnivore,,
Blue Naped Monarch,Insectivore,,
Emerald Dove,Frugivore,,
Golden Oriole,Omnivore,,
Great Tit,Omnivore,,
Indian Grey Hornbill,Frugivore,,
Sulphur Bellied Warbler,Insectivore,,
Tickle's Blue Flycatcher,Insectivore,,
Bay Backed shrike,Carnivore,,
Nilgiri Wood Pidgeon,Frugivore,,
Common Hawk Cuckoo,Omnivore,,
Common Wood Shrike,NA,,
Vigor's Sunbird,Frugivore,,
White Rumped Shama,Insectivore,,
Malabar Lark,Omnivore,,
LAughing Dove,Grainivore,,
Black Headed Oriole,Omnivore,,
Thick Billed Flowerpecker,Frugivore,,
Black Naped Monarch,Insectivore,,
Little Swift,Insectivore,,
Pale-billed Flowerpecker,Frugivore,,
Brahminy Starling,Omnivore,,
Indian Bushlark,Omnivore,,
Small Minivet,Insectivore,,
Grey Heron,Carnivore,,
White Eyed Buzzard,Carnivore,,
Large Grey babler,Omnivore,,
Brown Cheeked FUlvetta,Omnivore,,
White Browed Wagtail,Insectivore,,
Little Stint,Insectivore,,
Tawny Bellied Babler,Insectivore,,
Turdoides spp.,,,
Little Cormorant,Carnivore,,
Paddyfeild Pipit,Insectivore,,
Oriental Magpie RObin,Insectivore,,
Oriental Honey Buzzard,Insectivore,,
Paddyfeild Warbler,Insectivore,,
Indian Bushchat,Insectivore,,
Racket Tailed Drongo,NA,,
Jungle Prinia,Insectivore,,
Jungle babler,Insectivore,,
Plum Headed parakeet,Frugivore,,
Brown headed Barbet,Frugivore,,
Plain Prinia,Insectivore,,
Common Treepie,NA,,
Plain Martin,Insectivore,,
Taiga Flycatcher,Insectivore,,
Intermediate Egret,Carnivore,,
Citrine Wagtail,Carnivore,,
Common Sandpiper,Insectivore,,
Verditer Flycatcher,Insectivore,,
indian Robin,Insectivore,,
Black Eagle,Carnivore,,
Common Rosefinch,Omnivore,,
Clamorous Reed Warbler,Insectivore,,
Eurasian Collared Dove,Grainivore,,
Ashy Prinia,Insectivore,,
Ashy Drongo,Insectivore,,
White Browed Fantail,Insectivore,,
Indian Silverbill,Grainivore,,
Grey Francolin,Grainivore,,
