"Common.Name","Specific.Epithet","Guild","Study","Taxa","Evergreen Forest","Human Habitation/Farmland","Riparian","Scrubland/Grassland"
"Pond Heron","Ardeola grayii","Carnivore","1998 - 2000","Birds",NA,NA,0.00099304865938431,NA
"Pond Heron","Ardeola grayii","Carnivore","2016 - 2017","Birds",NA,0.00148441365660564,0.000989609104403761,0.000989609104403761
"Alpine Swift","Apus melba","Insectivore","1998 - 2000","Birds",NA,0.00198609731876862,NA,0.00397219463753724
"Black Naped Oriole","Oriolus chinensis","Omnivore","1998 - 2000","Birds",NA,0.00099304865938431,NA,NA
"Asian Fairy Bluebird","Irena puella","Frugivore","1998 - 2000","Birds",NA,0.00099304865938431,NA,NA
"Rufous Bellied Babler","Dumetia hyperythra","Insectivore","1998 - 2000","Birds",NA,0.00099304865938431,NA,NA
"Rufous Bellied Babler","Dumetia hyperythra","Insectivore","2016 - 2017","Birds",0.00049480455220188,NA,NA,NA
"Blue Rock Pidgeon","Columba livia","Grainivore","1998 - 2000","Birds",0.00099304865938431,NA,NA,NA
"Common Tailorbird","Orthotomus sutorius","Insectivore","1998 - 2000","Birds",0.00198609731876862,NA,NA,0.00198609731876862
"Common Tailorbird","Orthotomus sutorius","Insectivore","2016 - 2017","Birds",NA,0.00148441365660564,0.000989609104403761,0.00049480455220188
"Scaly Breasted Munia","Lonchura punctulata","Grainivore","1998 - 2000","Birds",0.00198609731876862,NA,NA,0.00397219463753724
"Scaly Breasted Munia","Lonchura punctulata","Grainivore","2016 - 2017","Birds",NA,NA,NA,0.000989609104403761
"Plum Headed Parakeet","Psittacula cyanocephala","Frugivore","1998 - 2000","Birds",0.00099304865938431,0.00099304865938431,NA,NA
"Plum Headed Parakeet","Psittacula cyanocephala","Frugivore","2016 - 2017","Birds",NA,NA,0.00049480455220188,0.00148441365660564
"Southern Coucal","Centropus sinensis","Omnivore","1998 - 2000","Birds",NA,0.00198609731876862,NA,0.00099304865938431
"Southern Coucal","Centropus sinensis","Omnivore","2016 - 2017","Birds",0.000989609104403761,0.00197921820880752,0.00296882731321128,0.00544285007422068
"Jungle Bush Quail","Perdicula asiatica","Grainivore","1998 - 2000","Birds",NA,NA,NA,0.00297914597815293
"Coppersmith Barbet","Psilopogon haemacephalus","Frugivore","1998 - 2000","Birds",NA,0.00099304865938431,NA,NA
"Coppersmith Barbet","Psilopogon haemacephalus","Frugivore","2016 - 2017","Birds",NA,0.00049480455220188,NA,0.00346363186541316
"Black Bulbul","Hypsipetes leucocephalus","Frugivore","1998 - 2000","Birds",NA,NA,0.00099304865938431,0.00099304865938431
"Black Bulbul","Hypsipetes leucocephalus","Frugivore","2016 - 2017","Birds",0.00049480455220188,NA,NA,NA
"Jungle Myna","Acridotheres fuscus","Omnivore","1998 - 2000","Birds",NA,NA,NA,0.00198609731876862
"Jungle Myna","Acridotheres fuscus","Omnivore","2016 - 2017","Birds",NA,NA,0.0049480455220188,0.00346363186541316
"Spotted Babler","Pellorneum ruficeps","Insectivore","1998 - 2000","Birds",NA,0.00099304865938431,NA,0.00198609731876862
"Spotted Babler","Pellorneum ruficeps","Insectivore","2016 - 2017","Birds",0.012370113805047,0.00544285007422068,0.0128649183572489,0.0113805047006432
"Rose finch","Carpodacus erythrinus","Frugivore","1998 - 2000","Birds",NA,0.00198609731876862,NA,NA
"Rose finch","Carpodacus erythrinus","Frugivore","2016 - 2017","Birds",NA,0.00395843641761504,NA,0.000989609104403761
"White Bellied Blue Flycatcher","Cyornis pallidipes","Insectivore","1998 - 2000","Birds",NA,NA,NA,0.00099304865938431
"White Bellied Blue Flycatcher","Cyornis pallidipes","Insectivore","2016 - 2017","Birds",0.00296882731321128,NA,0.00197921820880752,NA
"Black Shouldered Kite","Elanus axillaris","Carnivore","1998 - 2000","Birds",NA,NA,0.00099304865938431,NA
"Black Shouldered Kite","Elanus axillaris","Carnivore","2016 - 2017","Birds",NA,0.00197921820880752,0.00049480455220188,NA
"Oriental Magpie Robin","Copsychus saularis","Insectivore","1998 - 2000","Birds",0.00297914597815293,0.00099304865938431,0.00099304865938431,0.00397219463753724
"Oriental Magpie Robin","Copsychus saularis","Insectivore","2016 - 2017","Birds",0.0024740227610094,0.00791687283523008,0.00148441365660564,0.00296882731321128
"Golden Fronted Leafbird","Chloropsis aurifrons","Omnivore","2016 - 2017","Birds",0.000989609104403761,0.00445324096981692,0.00049480455220188,0.0024740227610094
"Red Whiskered Bubul","Pycnonotus jocosus","Omnivore","1998 - 2000","Birds",0.0139026812313803,0.0218470705064548,0.00595829195630586,0.0466732869910626
"Red Whiskered Bubul","Pycnonotus jocosus","Omnivore","2016 - 2017","Birds",0.0217714002968827,0.0341415141019297,0.0277090549233053,0.0390895596239485
"Common Tailor Bird","Orthotomus sutorius","Insectivore","1998 - 2000","Birds",0.00198609731876862,NA,NA,0.00198609731876862
"Common Tailor Bird","Orthotomus sutorius","Insectivore","2016 - 2017","Birds",NA,0.00148441365660564,0.000989609104403761,0.00049480455220188
"Red Spurfowl","Galloperdix spadicea","Frugivore","2016 - 2017","Birds",NA,0.00049480455220188,0.00049480455220188,0.00049480455220188
"Yellow Throated Sparrow","Gymnoris xanthocollis","Grainivore","2016 - 2017","Birds",NA,NA,NA,0.00049480455220188
"Oriental Trutle Dove","Streptopelia orientalis","Grainivore","1998 - 2000","Birds",0.0109235352532274,0.0109235352532274,0.00794438927507448,0.0248262164846077
"Oriental Trutle Dove","Streptopelia orientalis","Grainivore","2016 - 2017","Birds",0.000989609104403761,NA,NA,0.000989609104403761
"Orange Minivet","Pericrocotus flammeus","Insectivore","2016 - 2017","Birds",0.00445324096981692,NA,0.00148441365660564,0.000989609104403761
"Little Egret","Egretta garzetta","Carnivore","2016 - 2017","Birds",NA,NA,0.00049480455220188,0.00049480455220188
"Tree Pipit","Anthus trivialis","Insectivore","2016 - 2017","Birds",NA,NA,NA,0.00049480455220188
"Crimson Backed Sunbird","Leptocoma minima","Insectivore","2016 - 2017","Birds",0.0133597229094508,0.000989609104403761,0.0118753092528451,0.00692726373082632
"Orange Headed Ground Thrush","Geokichla citrina","Omnivore","2016 - 2017","Birds",0.00197921820880752,NA,NA,0.000989609104403761
"Puff Throated Babler","Pellorneum ruficeps","Insectivore","1998 - 2000","Birds",NA,0.00099304865938431,NA,0.00198609731876862
"Puff Throated Babler","Pellorneum ruficeps","Insectivore","2016 - 2017","Birds",0.012370113805047,0.00544285007422068,0.0128649183572489,0.0113805047006432
"Brown Cheeked Fulvetta","Alcippe poioicephala","Insectivore","1998 - 2000","Birds",NA,0.00297914597815293,NA,0.00595829195630586
"Brown Cheeked Fulvetta","Alcippe poioicephala","Insectivore","2016 - 2017","Birds",0.00940128649183572,0.00148441365660564,0.00049480455220188,0.000989609104403761
"Malabar Whistling Thrush","Myophonus horsfieldii","Insectivore","2016 - 2017","Birds",0.0153389411182583,0.00346363186541316,0.0108857001484414,0.00890648193963384
"Blue Naped Monarch","Hypothymis azurea","Insectivore","2016 - 2017","Birds",0.00148441365660564,NA,NA,NA
"Emerald Dove","Chalcophaps indica","Grainivore","2016 - 2017","Birds",0.00197921820880752,NA,0.00049480455220188,NA
"Golden Oriole","Oriolus kundoo","Omnivore","2016 - 2017","Birds",0.000989609104403761,0.00049480455220188,0.000989609104403761,0.00148441365660564
"Great Tit","Parus major","Omnivore","2016 - 2017","Birds",NA,NA,0.00148441365660564,NA
"Indian Grey Hornbill","Ocyceros birostris","Frugivore","2016 - 2017","Birds",NA,NA,0.000989609104403761,NA
"Sulphur Bellied Warbler","Phylloscopus griseolus","Insectivore","2016 - 2017","Birds",NA,NA,0.00049480455220188,NA
"Tickle's Blue Flycatcher","Cyornis tickelliae","Insectivore","2016 - 2017","Birds",NA,0.00148441365660564,NA,NA
"Bay Backed shrike","Lanius vittatus","Insectivore","2016 - 2017","Birds",NA,0.00049480455220188,NA,0.000989609104403761
"Nilgiri Wood Pidgeon","Columba elphinstonii","Frugivore","2016 - 2017","Birds",NA,NA,0.00296882731321128,NA
"Common Hawk Cuckoo","Hierococcyx varius","Omnivore","2016 - 2017","Birds",NA,NA,NA,0.000989609104403761
"Common Wood Shrike","Tephrodornis pondicerianus","Insectivore","2016 - 2017","Birds",NA,NA,NA,0.00049480455220188
"Vigor's Sunbird","Aethopyga vigorsii","Frugivore","2016 - 2017","Birds",0.00049480455220188,0.00148441365660564,NA,0.00049480455220188
"White Rumped Shama","Copsychus malabaricus","Insectivore","2016 - 2017","Birds",0.00148441365660564,NA,NA,NA
"Malabar Lark","Galerida malabarica","Omnivore","1998 - 2000","Birds",NA,NA,NA,0.00198609731876862
"Malabar Lark","Galerida malabarica","Omnivore","2016 - 2017","Birds",NA,NA,0.000989609104403761,0.000989609104403761
"LAughing Dove","Streptopelia senegalensis","Grainivore","1998 - 2000","Birds",NA,0.00099304865938431,NA,NA
"LAughing Dove","Streptopelia senegalensis","Grainivore","2016 - 2017","Birds",0.00346363186541316,0.0074220682830282,0.00395843641761504,0.00692726373082632
"Black Headed Oriole","Oriolus xanthornus","Frugivore","2016 - 2017","Birds",0.00197921820880752,0.00148441365660564,0.00148441365660564,0.00049480455220188
"Thick Billed Flowerpecker","Dicaeum agile","Frugivore","2016 - 2017","Birds",0.000989609104403761,NA,NA,NA
"Black Naped Monarch","Hypothymis azurea","Insectivore","2016 - 2017","Birds",0.00148441365660564,NA,NA,NA
"Little Swift","Apus affinis","Insectivore","2016 - 2017","Birds",NA,0.00296882731321128,NA,NA
"Pale-billed Flowerpecker","Dicaeum erythrorhynchos","Frugivore","1998 - 2000","Birds",0.00099304865938431,0.00198609731876862,0.0099304865938431,0.00099304865938431
"Pale-billed Flowerpecker","Dicaeum erythrorhynchos","Frugivore","2016 - 2017","Birds",0.00148441365660564,NA,NA,0.00049480455220188
"Brahminy Starling","Sturnia pagodarum","Omnivore","2016 - 2017","Birds",NA,0.00197921820880752,NA,NA
"Small Minivet","Pericrocotus cinnamomeus","Insectivore","2016 - 2017","Birds",NA,0.00049480455220188,0.000989609104403761,NA
"Grey Heron","Ardea cinerea","Carnivore","2016 - 2017","Birds",NA,0.00049480455220188,NA,NA
"White Eyed Buzzard","Butastur teesa","Carnivore","2016 - 2017","Birds",NA,NA,NA,0.00049480455220188
"Large Grey babler","Turdoides malcolmi","Insectivore","2016 - 2017","Birds",NA,NA,NA,0.00197921820880752
"Brown Cheeked FUlvetta","Alcippe poioicephala","Insectivore","1998 - 2000","Birds",NA,0.00297914597815293,NA,0.00595829195630586
"Brown Cheeked FUlvetta","Alcippe poioicephala","Insectivore","2016 - 2017","Birds",0.00940128649183572,0.00148441365660564,0.00049480455220188,0.000989609104403761
"White Browed Wagtail","Motacilla maderaspatensis","Insectivore","2016 - 2017","Birds",NA,0.000989609104403761,NA,NA
"Little Stint","Calidris minuta","Insectivore","2016 - 2017","Birds",NA,NA,0.00148441365660564,NA
"Tawny Bellied Babler","Dumetia hyperythra","Insectivore","1998 - 2000","Birds",NA,0.00099304865938431,NA,NA
"Tawny Bellied Babler","Dumetia hyperythra","Insectivore","2016 - 2017","Birds",0.00049480455220188,NA,NA,NA
"Little Cormorant","Microcarbo niger","Carnivore","2016 - 2017","Birds",NA,0.000989609104403761,0.000989609104403761,0.00049480455220188
"Paddyfeild Pipit","Anthus rufulus","Insectivore","2016 - 2017","Birds",NA,0.00049480455220188,NA,NA
"Oriental Magpie RObin","Copsychus saularis","Insectivore","1998 - 2000","Birds",0.00297914597815293,0.00099304865938431,0.00099304865938431,0.00397219463753724
"Oriental Magpie RObin","Copsychus saularis","Insectivore","2016 - 2017","Birds",0.0024740227610094,0.00791687283523008,0.00148441365660564,0.00296882731321128
"Oriental Honey Buzzard","Pernis ptilorhynchus","Insectivore","2016 - 2017","Birds",NA,NA,NA,0.00197921820880752
"Paddyfeild Warbler","Acrocephalus agricola","Insectivore","2016 - 2017","Birds",NA,NA,NA,0.00148441365660564
"Indian Bushchat","Saxicola caprata","Insectivore","1998 - 2000","Birds",0.00099304865938431,0.00099304865938431,0.00595829195630586,0.00595829195630586
"Indian Bushchat","Saxicola caprata","Insectivore","2016 - 2017","Birds",NA,0.00296882731321128,0.0024740227610094,0.000989609104403761
"Racket Tailed Drongo","Dicrurus remifer","Insectivore","2016 - 2017","Birds",0.00049480455220188,NA,NA,NA
"Jungle Prinia","Prinia sylvatica","Insectivore","2016 - 2017","Birds",NA,0.00346363186541316,0.00049480455220188,0.00197921820880752
"Jungle babler","Turdoides striata","Omnivore","1998 - 2000","Birds",NA,0.0139026812313803,0.00595829195630586,0.0119165839126117
"Jungle babler","Turdoides striata","Omnivore","2016 - 2017","Birds",0.00346363186541316,0.00890648193963384,0.0252350321622959,0.0336467095497279
"Plum Headed parakeet","Psittacula cyanocephala","Frugivore","1998 - 2000","Birds",0.00099304865938431,0.00099304865938431,NA,NA
"Plum Headed parakeet","Psittacula cyanocephala","Frugivore","2016 - 2017","Birds",NA,NA,0.00049480455220188,0.00148441365660564
"Brown headed Barbet","Psilopogon zeylanicus","Frugivore","1998 - 2000","Birds",0.0268123138033764,0.0148957298907646,0.00297914597815293,0.0228401191658391
"Brown headed Barbet","Psilopogon zeylanicus","Frugivore","2016 - 2017","Birds",0.00692726373082632,0.0024740227610094,0.0024740227610094,0.012370113805047
"Plain Prinia","Prinia inornata","Insectivore","2016 - 2017","Birds",NA,0.00148441365660564,NA,0.00197921820880752
"Common Treepie","Dendrocitta vagabunda","Omnivore","2016 - 2017","Birds",NA,0.00049480455220188,NA,NA
"Plain Martin","Riparia paludicola","Insectivore","2016 - 2017","Birds",NA,0.00296882731321128,0.00940128649183572,0.0148441365660564
"Taiga Flycatcher","Ficedula albicilla","Insectivore","2016 - 2017","Birds",0.00049480455220188,0.000989609104403761,0.00049480455220188,0.00148441365660564
"Intermediate Egret","Ardea intermedia","Carnivore","2016 - 2017","Birds",NA,0.00049480455220188,NA,NA
"Citrine Wagtail","Motacilla citreola","Insectivore","2016 - 2017","Birds",NA,0.00049480455220188,NA,0.00049480455220188
"Common Sandpiper","Actitis hypoleucos","Insectivore","2016 - 2017","Birds",NA,0.000989609104403761,NA,0.00049480455220188
"Verditer Flycatcher","Eumyias thalassinus","Insectivore","2016 - 2017","Birds",NA,NA,0.00049480455220188,NA
"indian Robin","Copsychus fulicatus","Insectivore","1998 - 2000","Birds",0.0109235352532274,0.00496524329692155,0.00198609731876862,0.00397219463753724
"indian Robin","Copsychus fulicatus","Insectivore","2016 - 2017","Birds",NA,0.00148441365660564,0.00395843641761504,0.00593765462642256
"Black Eagle","Ictinaetus malaiensis","Carnivore","2016 - 2017","Birds",NA,NA,NA,0.00049480455220188
"Common Rosefinch","Carpodacus erythrinus","Grainivore","1998 - 2000","Birds",NA,0.00198609731876862,NA,NA
"Common Rosefinch","Carpodacus erythrinus","Grainivore","2016 - 2017","Birds",NA,0.00395843641761504,NA,0.000989609104403761
"Clamorous Reed Warbler","Acrocephalus stentoreus","Insectivore","2016 - 2017","Birds",NA,NA,NA,0.00049480455220188
"Eurasian Collared Dove","Streptopelia decaocto","Grainivore","2016 - 2017","Birds",NA,0.00049480455220188,NA,NA
"Ashy Prinia","Prinia socialis","Insectivore","1998 - 2000","Birds",NA,0.00099304865938431,0.00099304865938431,0.00198609731876862
"Ashy Prinia","Prinia socialis","Insectivore","2016 - 2017","Birds",NA,0.000989609104403761,0.00049480455220188,NA
"Ashy Drongo","Dicrurus leucophaeus","Insectivore","2016 - 2017","Birds",NA,0.00049480455220188,0.00049480455220188,0.000989609104403761
"White Browed Fantail","Rhipidura aureola","Insectivore","2016 - 2017","Birds",0.00049480455220188,NA,NA,NA
"Indian Silverbill","Euodice malabarica","Grainivore","2016 - 2017","Birds",NA,0.00049480455220188,NA,NA
"Grey Francolin","Francolinus pondicerianus","Grainivore","2016 - 2017","Birds",NA,NA,0.00049480455220188,0.000989609104403761
